id,app,name,applied
1,contenttypes,0001_initial,"2024-07-29 06:14:47.366231"
2,auth,0001_initial,"2024-07-29 06:14:48.407475"
3,admin,0001_initial,"2024-07-29 06:14:48.642605"
4,admin,0002_logentry_remove_auto_add,"2024-07-29 06:14:48.673855"
5,admin,0003_logentry_add_action_flag_choices,"2024-07-29 06:14:48.707382"
6,contenttypes,0002_remove_content_type_name,"2024-07-29 06:14:48.869172"
7,auth,0002_alter_permission_name_max_length,"2024-07-29 06:14:49.003338"
8,auth,0003_alter_user_email_max_length,"2024-07-29 06:14:49.057175"
9,auth,0004_alter_user_username_opts,"2024-07-29 06:14:49.069381"
10,auth,0005_alter_user_last_login_null,"2024-07-29 06:14:49.151954"
11,auth,0006_require_contenttypes_0002,"2024-07-29 06:14:49.159983"
12,auth,0007_alter_validators_add_error_messages,"2024-07-29 06:14:49.169538"
13,auth,0008_alter_user_username_max_length,"2024-07-29 06:14:49.263459"
14,auth,0009_alter_user_last_name_max_length,"2024-07-29 06:14:49.354445"
15,auth,0010_alter_group_name_max_length,"2024-07-29 06:14:49.388741"
16,auth,0011_update_proxy_permissions,"2024-07-29 06:14:49.402803"
17,auth,0012_alter_user_first_name_max_length,"2024-07-29 06:14:49.500064"
18,management,0001_initial,"2024-07-29 06:14:49.950469"
19,sessions,0001_initial,"2024-07-29 06:14:50.007898"
20,management,0002_client_updated_at_alter_client_created_by_and_more,"2024-07-30 04:18:29.617837"
